Sentence,Score
There is no people on this great green Earth uglier than Somalians,3.5
He has a big brain phenotype. He could have been a doctor unironically if not for Western imperialism.,1.0
"man you guys lost your fucking minds with that afpost tweet
you've been seething about it for what a week now",2.0
I can’t stand looking at them. I wonder if they’re capable of having an inferiority complex,2.0
He isn't vomit inducing,1.0
"look at me, I am the mayor now",1.5
OP forgets that abos exist.,2.0
it can be so much fucking worse,1.0
"big brain
They don't. People don't realise, somalis don't have big craniums. It's dystrophy in the lower face rather than a bigger upper head.
They have TINY jaws and lower faces.",2.0
"dystrophy in the lower face
Sounds like a West thing.",1.5
"Unironically still mogs the somali. At least abos have a sturdy, orcish look to them. somalis are both fucking ugly BUT also weak and fragile looking.",2.0
"Somalians have the requisite features to produce chads, aboriginals do not because of their noses and all other fucked up foundational features.
There will never be an aboriginal chad.",3.5
"Nah. It's a somali thing. They have fucked genetics through inbreeding, and they can't seem to utilise nutrients as well as other species. They always have weird fat distribution, like a jewish woman.",3.5
"There will never be a somali chad either, buddy.",1.0
Reminds me of the aliens in Mars Attacks!,3.0
resident evil typashit,1.0
Please find me a full blooded aboriginal chad.,3.0
"Somalian diet is also mostly liquid. 50% of their nutrients comes from cow milk, even in adulthood
There were also superstitions in tribes that large foreheads = better, so it was selected for culturally in their evolution",3.1
"lower facial dystrophy noises
Somalis are whiter than bongs.",1.5
They kinda look like aliens. Similar face shape.,2.0
Uncanny Valley.,1.0
"heres a random pic I found bro of a 6/10 guy who I think is somali bro!
I can do the same with abos.
Pointless exercise.",2.3
Why are all Somalian guys the same dude,1.5
Last time that pussy got washed? 1998,1.0
It’s difficult to differentiate other races/species,3.0
"Yeah, Chinese all look the same too",3.0
"It came up after I scrolled down the page of writing ""Somalian person.""
You can google aboriginal model but you'll never find a full blooded one.
This isn't up for debate though, aboriginals are the ugliest race on planet earth, without a doubt uglier than somalians.
Please tell me why you genuinely think aboriginals are better looking.",1.0
"It came up after I scrolled down the page of writing ""Somalian person.""
Actual abo tier brainlet here.
You can google aboriginal model but you'll never find a full blooded one.
That's what I did. (Not google though, because I'm not a retard). I think he mogs the 6/10 'somali' you posted.
Either way it doesn't matter, because only a dumb abo like you would think 'googling' random faces is an argument.
This isn't up for debate though, aboriginals are the ugliest race on planet earth,
They are ugly as fuck. I never said they weren't, braintrust. I said they at least look incredibly robust and savage, which
means that I disagree with you're next point
without a doubt uglier than somalians
Nope.
Please tell me why you genuinely think aboriginals are better looking.
I think somalis edge them out in the ugly departement as they are not just horrendously ugly like abos, they also look weak and frail.
But I really don't care who is more ugly than a literal inbred sandnigger goblin or a cave man tier jungle nigger, like you seem to do.
Apart from your abo IQ, I'm inclined to believe you're a somalian.
You seem to want to defend them quite intensely.",3.5
"Dam you got mad quickly, this isn't a serious topic but please if this guy is a 6/10, please show me a 6/10 european.
If the photo I showed was seen by FaceandLMS or any other channel he wouldn't be ranked a 6/10 that's just pure cope.
weak and frail.
I'll show you a photo of a ""robust and savage"" looking caveman versus some chincel white guy with some gay emo hair, the latter will get more pussy, don't tell me the opposite is true.",3.1
"Here you go, please tell me who has a higher chance of getting pussy in your opinion, you have two photos to compare from.
And no I didn't put the queer caption on the emo photo.",1.0
"y-you're mad!
now let me just screen this face on an incel scanner to prove my point!
Lmao. Autsim in motion.
now let me do some more gay shit like compare this caveman to an chinlet...
The cave man would absolutley do better if he shaved and tidied himself up. No one wants chinlets.",1.0
They already had that headshape 100 years ago lol,2.5
papua new guineans are hideous as well,2.0
he has this saved on his computer,1.0
"That's what I did. (Not google though, because I'm not a retard).
""I didn't use google that's how hecking smart I am""
Ok because you'll find more accurate image searches on some fucking random browser when we are talking about a very small topic that alternative search engines are going to care about.
Also you sent a native american actor, you do realise I'm talking about australian aboriginals just for clarity incase you couldn't figure that out.",2.0
It's sad af if this is true and every man in Germany sits to piss,3.0
You literally drink cow piss,1.0
"Standing to piss at home is disgusting. Some of us are taller than 5'5, so it splashes all over the seat.",2.5
"People should. It's fucking disgusting how public toilets are left, scum just pissing all over the floor and seats. Sit down, piss properly, wash your hands on the way out, and fucking stop being savages.",2.5
Some of us have penises longer than 3 inches so we can direct it into the bowl,2.3
I don't want to put my bare ass where who knows how many other asses have been.,1.0
"splashes
Some of us have the attention span to fully process what we're reading",2.0
I think you meant to type something else,1.0
"How can you sit without your dick touching the inside of the bowl? This whole sitting thing is retarded, emasculating, and a fucking psyop.",2.0
"streetshitter commenting on anyone's use of the bathroom
use of the bathroom
Yes, let that sink in.
Only faggots sit to pee
You cannot convince me otherwise",1.0
At least they use toilets.,2.5
"Sitting down while peeing is so popular in Germany, Germans have a word for this behavior. It's called ""Sitzpinkler"".",3.2
"This is a red-pilled community don't any of your niggers see what's happening?
You don't sit like a cuck to piss
You're the only one who's seen it. It's a system to favour women disregarding man's preference.",3.1
"This board is for the discussion of news, world events, political issues, and other related topics.
Off-topic and /b/-tier threads will be deleted (and possibly earn you a ban, if you persist). Unless they are quality, well thought out, well written posts, the following are examples of off-topic and/or /b/-tier threads:
Red pill me on X. (with no extra content or input of your own)
Are X white?
Is X degeneracy?
How come X girls love Y guys so much?
If X is true, then how come Y? Checkmate Z.
The variety of threads allowed here are very flexible and we believe in freedom of speech, but we expect a high level of discourse befitting of the board. Attempts to disrupt the board will not be tolerated, nor will calls to disrupt other boards and sites.",3.2
"Check the catalog before posting a new thread!
Reply to existing threads about a topic instead of starting a new one. New users who do not abide by this principle will be temporarily blocked from creating threads. Mods will delete obvious duplicate threads and spam without notice. Don't bitch because your twitter screencap thread got deleted; there are probably other threads about it. Go look!",3.5
