Sentence,Score
RT @nowthisnews: Rep. Trey Radel (R- #FL) slams #Obamacare. #politics https://t.co/zvywMG8yIH,2.0
VIDEO - #Obamacare:  Full of Higher Costs and Broken Promises: http://t.co/dn3vzqIrWF,1.0
Please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices.,3.0
RT @SenatorLeahy: 1st step toward Senate debate on Leahy-Crapo #VAWA bill is the Senateâ€™s procedural vote today at 5:30 pm,2.0
.@amazon delivery #drones show need to update law to promote #innovation &amp; protect #privacy. My #UAS bill does that: http://t.co/l9ta5SKq6u,1.5
Called on the @USDOTFRA to release info about inspections before the #CasseltonDerailment to review quality of rails. (1/2),1.8
"@BBCWorld, help us keep the kidnapped Nigerian school girls' story out front. #BringBackOurGirls #JoinRepWilson http://t.co/ZqZVT80mga",3.5
Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd,1.5
What a wonderful night at State Senator Ken Yagerâ€™s Chili Supper benefitting the Boys &amp; Girls Clubs of Roane County. http://t.co/DsyoAFZvkR,2.0
"Great op-ed by Pres. Clinton about signing #FMLA 20 yrs ago today, an important law protecting workers http://t.co/csYEv7O4 #HoyerHeadlines",1.0
"As POTUS golfs, pushes amnesty &amp; ignores Keystone, American people are concerned about jobs, econ &amp; health care costs http://t.co/p9sPDYOAca",3.0
The President doesnâ€™t get to just decide he doesnâ€™t like Congress and do his own thing: http://t.co/jmclKjUzSG,3.0
"FACT: The Recovery Act cut taxes for middle-class families, kept teachers in the classroom, &amp; police &amp; firefighters on the streets.",3.0
RT @MHA: Telemedicine consults at rural ERs helps prevent prescription errors (via @genevrapittman for @medcitynews) http://t.co/VEyo4ScM3g,2.0
"@SkitchP Wouldn't wish that on anyone. Even you, Skitch.",1.5
"At 5:45pm, Sen. @CoryBooker will give his maiden Senate speech on need to #RenewUI--such an impt issue! Follow @SenBookerofc for livetweets.",2.0
"""...if you have come because your liberation is bound up with mine, then let us work together."" â€“ Lilla Watson http://t.co/6WPXW9QUM0",1.7
"For health coverage starting Jan. 1st, you must sign up for @AccessHealthCT by end of today: http://t.co/fS7mNrPpmB #GetEnrolled",1.5
The House will vote this week to #DefundObamacare and keep the government open.,3.0
Tks to Margaret 4 joining me in DC to share successes Niskayuna NCAP saw in education &amp; prevention of substance abuse http://t.co/kvS6kAkJyT,1.5
A great look back at at Idaho Native American tribes in 1863. #idpol #idaho150 Via @KTVB http://t.co/JsxSWVpDPv,1.5
"#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon",2.0
RT if you agree: It's time to #ActOnClimate change â†’ more info on the #NCA2014 released today at http://t.co/SdCnKyUDVJ,1.0
We will vote on the Working Families Flexibility Act. Would you like the flexibility to choose how you're comp'd for overtime? #YourTime,2.0
"Reminder: Next week, my office will be holding mobile office hours in Sachse and Wylie. Learn more: http://t.co/38p28m2O0I #TX32",1.5
This wkâ€™s 1 min video is on how expanding Medicaid in #WV will help so many families get affordable health care. http://t.co/VDUMX9R4x5,2.0
Thinking of all those affected by the severe weather today - especially in Oklahoma.  Stay safe.,1.5
Remember Bill? He and his friends are stuck on @SenatorReid's desk. #4jobs http://t.co/0DCNU1R3G7,2.0
Slashing Amtrakâ€™s funding by 1/3 at a time of increasing ridership will hurt PAâ€™s economy. http://t.co/dqtBbksslg https://t.co/4y6igwxWnr,2.0
"American #energy production is creating #jobs, holding prices down, and promoting energy independence: http://t.co/Pw6cdXrHiR",3.0
"#Obamacare spawning a new concept: ""medical homelessness.""  http://t.co/mmupzZKMqJ",2.3
"MUST READ from @marcthiessen -- ""Kidnapped Libyan prime minister pays the price for an Obama leak"" http://t.co/MHHab1V0XD",1.5
Delaying or refusing to vote to #RenewUI has real life consequences for 2.8 million Americans- http://t.co/srPRCzH2Dg http://t.co/FYzWGvwKXz,3.1
"In his office in the @uscapitol, Senator McConnell congratulated &amp; welcomed Senator-elect Bill Cassidy to the Senate http://t.co/fyZY42ddZP",2.0
".@HouseofCards, if you donâ€™t like Long Island wine, I suggest giving @FLXWineCountry or @Niagwinetrail wines a try.",2.0
"""Six enrolled on health site on Day 1"" via @politico. #trainwreck http://t.co/ng4OzR3pab",1.0
$10M in federal funds will help relieve congestion around @FtMeadeMD! More: http://t.co/biOp5x3HYX,1.5
Job well done by the members of the SC House of Representatives who voted down Medicaid expansion yesterday.  #scnews,2.0
Gearing up for coffee w/ constituents this morning at D &amp; K's Gretna Cafe at 8:30. Be sure to stop by..looking forward to speaking w/ folks!,1.0
.@askgeorge has been a dedicated public servant &amp; his leadership on @edworkforcedems will be missed. I wish him the best in retirement.,1.0
"#Florida is ""tale of what went right with President Barack Obama's health care overhaulâ€ù despite GOP opposition: http://t.co/bhsAcU3Wje",2.0
"If you are in DC tomorrow &amp; want to #MakeGovernmentWork, join us #ProblemSolvers in showing America that some of us are here to #FixNotFight",2.0
FL delegation shining spotlight on VA health care in sunshine state http://t.co/CdeEXuC1C5,1.5
Meeting the press in #Jerusalem with @GrahamBlog #Israel http://t.co/FIbhbOpSwh,2.0
